TYPE,LATITUDE,LONGITUDe,SUSTAINED WINDS
TS,20.2,106.3,45
TS,20.2,106.4,45
TS,20.2,106.7,45
TS,20.3,107.7,45
TS,20.4,108.6,45
TS,20.5,109.4,45
TS,20.6,110.2,45
TS,14.1,107,45
TS,14.6,107.7,45
TS,15,108.4,45
TS,15.4,109.2,45
TS,15.7,110,45
TS,16,110.8,45
TS,16.3,111.6,45
TS,16.7,112.3,45
TS,17.1,112.9,45
TS,17.5,113.5,45
TS,18,114.1,45
TS,18.4,114.6,45
TS,18.9,115.1,45
TS,19.4,115.6,45
TS,19.9,116,45
TS,20.4,116.4,45
TS,21,116.7,45
TS,21.5,117.1,45
TS,22,117.5,45
TS,22.5,117.8,45
TS,23.1,118,45
TS,23.9,118,45
TS,24.7,117.7,45
TS,25.4,117.4,45
TS,26,117,45
TS,17.3,106.3,45
TS,17.6,106.6,45
TS,17.9,106.8,45
TS,18.4,106.8,45
TS,18.8,106.9,45
TS,18.9,106.9,45
TS,19,107,45
TS,19,107.1,45
TS,19.1,107.2,45
TS,19.6,107.9,45
TS,20.2,108.8,45
TS,20.7,109.4,45
TS,21.2,110,45
TS,22,110.8,45
TS,22.9,111.7,45
TS,23.8,112.8,45
TS,24.8,113.8,45
TS,25.5,114.5,45
TS,26.2,115.2,45
TS,27.6,115.9,45
TS,28.6,116.4,45
TS,28.4,116.4,45
TS,28.2,116.4,45
TS,28.1,116.4,45
TS,28,116.5,45
HU,19.3,108.6,75
HU,20.2,109.4,75
HU,21.2,110.2,75
HU,21.8,110.6,75
HU,22.5,110.9,75
HU,23.2,111,75
HU,23.9,111,75
HU,24.3,111,75
HU,24.5,110.9,75
TS,15.4,101.3,45
TS,15.8,102.8,45
TS,16.5,103.9,45
TS,17.7,104.6,45
TS,18.7,105.4,45
TS,19,106.1,45
TS,19.3,106.7,45
TS,19.7,107.3,45
TS,20.1,107.9,45
TD,16.1,107.4,25
TS,17,107.2,45
HU,17.9,107.3,75
HU,18.6,107.9,75
TS,18.8,108.8,45
TS,18.2,110.1,45
TD,16.7,111.6,25
HU,14.1,98.2,75
HU,14.2,98.5,75
HU,14.4,98.9,75
HU,14.8,99.5,75
HU,15.2,99.9,75
HU,15.4,100,75
HU,15.6,100.1,75
HU,15.9,100.2,75
HU,16.1,100.3,75
HU,16.1,100.6,75
HU,16.2,101.1,75
HU,16.4,101.6,75
HU,16.6,102.1,75
HU,16.8,102.8,75
HU,17,103.6,75
HU,17.4,105,75
HU,18.1,106,75
HU,19,106,75
HU,20,106,75
HU,20.8,106,75
HU,21.5,106,75
HU,18.4,105.9,75
HU,19,106.3,75
HU,19.5,106.7,75
HU,20.2,107.2,75
HU,20.7,107.8,75
HU,21,108.4,75
HU,21.1,109,75
HU,21.2,109.7,75
HU,21.4,110.4,75
HU,21.8,111.2,75
HU,22.3,112,75
HU,22.8,112.8,75
HU,23.3,113.6,75
HU,16.1,108,75
HU,16.4,108.4,75
HU,16.7,108.9,75
HU,17.1,109.7,75
HU,17.5,110.5,75
HU,17.8,111.2,75
HU,18,112,75
HU,18.3,113,75
HU,18.6,114,75
HU,18.7,114.9,75
HU,18.6,115.9,75
HU,18.4,117,75
HU,18.1,118,75
TD,14.5,144.5,25
TD,14.9,144.8,25
TD,15.2,145.2,25
TD,15.5,145.6,25
TD,15.7,145.8,25
TS,15.9,146.3,45
TS,16.3,146.9,45
TS,16.6,147.6,45
TS,16.8,148.1,45
TS,17.5,149.1,45
TS,18.3,150.1,45
TS,19.3,151.3,45
TS,20.1,152.4,45
TS,20.7,153.4,45
TS,21.4,154.4,45
TS,22.3,155.6,45
HU,23,156.6,75
HU,23.7,157.5,75
HU,24.3,158.4,75
HU,24.7,159.6,75
HU,24.7,160.8,75
HU,24.5,161.6,75
HU,24,162.4,75
HU,23.6,163.1,75
HU,23.3,163.8,75
HU,22.8,164.7,75
HU,22.6,165.6,75
HU,22.5,166.5,75
HU,22.5,167.4,75
HU,22.6,168.7,75
HU,22.7,169.7,75
TS,23.2,170.4,45
TS,23.6,171.5,45
TS,24.1,172.4,45
TS,24.7,173.7,45
TS,25.3,174.3,45
TS,26,175.7,45
TS,26.7,176.9,45
TD,27.4,178,25
TS,17.5,116.8,45
TS,17.7,116.8,45
TD,18,117.1,25
TD,18.4,117.7,25
TD,18.8,118.7,25
HU,17.3,131.5,75
HU,17.7,132.4,75
HU,17.9,133.2,75
HU,17.9,133.8,75
HU,18,134.4,75
HU,18.1,135.1,75
HU,18.3,135.8,75
HU,18.5,136.4,75
HU,18.6,137,75
HU,18.7,137.5,75
HU,18.8,138.1,75
HU,18.9,138.8,75
HU,19,139.6,75
HU,19.1,140.3,75
HU,19.3,141.1,75
HU,19.5,142,75
HU,19.7,143,75
HU,14,108.7,75
HU,14.7,109,75
HU,15.2,109.4,75
HU,15.4,109.7,75
HU,15.6,110,75
HU,15.9,110.4,75
HU,16.2,110.9,75
HU,16.5,111.4,75
HU,16.9,111.9,75
TS,11,104.4,45
TS,11.5,104.3,45
TS,12.1,104.1,45
TS,12.8,103.9,45
TS,13.6,103.8,45
TS,14.3,103.6,45
TS,15,103.3,45
TS,15.5,103.1,45
TS,15.9,103,45
TS,16.4,102.9,45
TS,16.9,102.8,45
TS,17.4,102.6,45
TS,17.8,102.4,45
TS,18.1,102,45
TS,18.3,101.4,45
HU,13.8,95.7,75
HU,14.7,97.4,75
HU,15.6,98.8,75
HU,16.7,99.9,75
HU,17.8,100.5,75
TS,16.7,100.8,45
TS,16.9,101.5,45
TS,17,102.2,45
TS,17.1,103,45
TS,17.2,103.8,45
TS,16.7,104.1,45
TS,17.2,105,45
TS,17.8,105.8,45
TS,18.4,106.4,45
TS,19,106.9,45
TS,10.6,94.5,45
TS,11,95.4,45
TS,11.5,96.2,45
TS,11.9,96.9,45
TS,12.3,97.7,45
TS,12.5,98.7,45
TS,12.7,100.1,45
TS,12.9,101.9,45
TS,13.4,103.8,45
TS,14.2,105.6,45
TS,15.1,107.3,45
TS,16,108.8,45
TS,16.9,110.2,45
TS,17.3,111.2,45
TS,17.5,112.2,45
TS,17.5,113.8,45
